age,sex,ftotinc,n
31,female,"$95,000 to $99,999",453
31,female,"Less than $14,999",1360
32,male,"$100,000 to $124,999",1989
32,male,"$125,000 to $149,999",1259
32,male,"$15,000 to $19,999",468
32,male,"$150,000 to $174,999",769
32,male,"$175,000 to $199,999",467
32,male,"$20,000 to $24,999",633
32,male,"$200,000 to $249,999",525
32,male,"$25,000 to $29,999",601
32,male,"$250,000 and above",2061
32,male,"$30,000 to $34,999",830
32,male,"$35,000 to $39,999",719
32,male,"$40,000 to $44,999",821
32,male,"$45,000 to $49,999",737
32,male,"$50,000 to $54,999",847
32,male,"$55,000 to $59,999",628
32,male,"$60,000 to $64,999",704
32,male,"$65,000 to $69,999",692
32,male,"$70,000 to $74,999",699
32,male,"$75,000 to $79,999",600
32,male,"$80,000 to $84,999",608
32,male,"$85,000 to $89,999",500
32,male,"$90,000 to $94,999",554
32,male,"$95,000 to $99,999",393
32,male,"Less than $14,999",950
32,female,"$100,000 to $124,999",2142
32,female,"$125,000 to $149,999",1279
32,female,"$15,000 to $19,999",538
32,female,"$150,000 to $174,999",841
32,female,"$175,000 to $199,999",523
32,female,"$20,000 to $24,999",680
32,female,"$200,000 to $249,999",586
32,female,"$25,000 to $29,999",657
32,female,"$250,000 and above",1055
32,female,"$30,000 to $34,999",831
32,female,"$35,000 to $39,999",764
32,female,"$40,000 to $44,999",837
32,female,"$45,000 to $49,999",766
32,female,"$50,000 to $54,999",774
32,female,"$55,000 to $59,999",653
32,female,"$60,000 to $64,999",701
32,female,"$65,000 to $69,999",599
32,female,"$70,000 to $74,999",701
32,female,"$75,000 to $79,999",600
32,female,"$80,000 to $84,999",631
32,female,"$85,000 to $89,999",467
32,female,"$90,000 to $94,999",568
32,female,"$95,000 to $99,999",458
32,female,"Less than $14,999",1276
33,male,"$100,000 to $124,999",2068
33,male,"$125,000 to $149,999",1324
33,male,"$15,000 to $19,999",432
33,male,"$150,000 to $174,999",841
33,male,"$175,000 to $199,999",470
33,male,"$20,000 to $24,999",598
33,male,"$200,000 to $249,999",604
33,male,"$25,000 to $29,999",605
33,male,"$250,000 and above",2062
33,male,"$30,000 to $34,999",780
33,male,"$35,000 to $39,999",750
33,male,"$40,000 to $44,999",817
33,male,"$45,000 to $49,999",775
33,male,"$50,000 to $54,999",866
33,male,"$55,000 to $59,999",654
33,male,"$60,000 to $64,999",792
33,male,"$65,000 to $69,999",682
33,male,"$70,000 to $74,999",700
33,male,"$75,000 to $79,999",624
33,male,"$80,000 to $84,999",615
33,male,"$85,000 to $89,999",488
33,male,"$90,000 to $94,999",572
33,male,"$95,000 to $99,999",461
33,male,"Less than $14,999",893
33,female,"$100,000 to $124,999",2115
33,female,"$125,000 to $149,999",1388
33,female,"$15,000 to $19,999",575
33,female,"$150,000 to $174,999",922
33,female,"$175,000 to $199,999",519
33,female,"$20,000 to $24,999",708
33,female,"$200,000 to $249,999",699
33,female,"$25,000 to $29,999",703
33,female,"$250,000 and above",1100
33,female,"$30,000 to $34,999",802
33,female,"$35,000 to $39,999",719
33,female,"$40,000 to $44,999",753
33,female,"$45,000 to $49,999",770
33,female,"$50,000 to $54,999",841
33,female,"$55,000 to $59,999",684
33,female,"$60,000 to $64,999",751
33,female,"$65,000 to $69,999",584
33,female,"$70,000 to $74,999",661
33,female,"$75,000 to $79,999",583
33,female,"$80,000 to $84,999",652
33,female,"$85,000 to $89,999",499
33,female,"$90,000 to $94,999",579
33,female,"$95,000 to $99,999",481
33,female,"Less than $14,999",1253
34,male,"$100,000 to $124,999",2096
34,male,"$125,000 to $149,999",1319
34,male,"$15,000 to $19,999",424
34,male,"$150,000 to $174,999",888
34,male,"$175,000 to $199,999",516
34,male,"$20,000 to $24,999",578
34,male,"$200,000 to $249,999",608
34,male,"$25,000 to $29,999",616
34,male,"$250,000 and above",2070
